Temp,Setpoint,,Time
38.17,38.5,119.87,369990
38.17,38.5,110.99,370191
38.14,38.5,114.95,370392
38.14,38.5,123.9,370593
38.14,38.5,120,370794
38.14,38.5,120.03,370995
38.14,38.5,120.07,371196
38.14,38.5,120.1,371397
38.14,38.5,120.13,371598
38.14,38.5,120.17,371799
38.14,38.5,120.2,372000
38.14,38.5,120.23,372201
38.14,38.5,120.27,372402
38.14,38.5,120.3,372603
38.14,38.5,120.33,372804
38.14,38.5,120.37,373005
38.17,38.5,120.4,373206
38.14,38.5,111.52,373407
38.14,38.5,124.4,373608
38.14,38.5,120.5,373809
38.14,38.5,120.53,374010
38.14,38.5,120.56,374211
38.14,38.5,120.6,374412
38.14,38.5,120.63,374613
38.14,38.5,120.66,374814
38.14,38.5,120.7,375015
38.14,38.5,120.73,375216
38.17,38.5,120.76,375417
38.14,38.5,111.88,375618
38.14,38.5,124.76,375819
38.17,38.5,120.86,376020
38.14,38.5,111.98,376221
38.17,38.5,124.86,376422
38.14,38.5,112.04,376623
38.14,38.5,124.92,376824
38.14,38.5,121.02,377025
38.14,38.5,121.05,377226
38.14,38.5,121.09,377427
38.14,38.5,121.12,377628
38.14,38.5,121.15,377829
38.14,38.5,121.19,378030
38.14,38.5,121.22,378231
38.14,38.5,121.25,378432
38.14,38.5,121.29,378633
38.14,38.5,121.32,378834
38.14,38.5,121.35,379035
38.14,38.5,121.39,379236
38.14,38.5,121.42,379437
38.14,38.5,121.45,379638
38.14,38.5,121.49,379839
38.14,38.5,121.52,380040
38.14,38.5,121.55,380241
38.14,38.5,121.59,380442
38.14,38.5,121.62,380643
38.14,38.5,121.65,380844
38.14,38.5,121.69,381045
38.14,38.5,121.72,381246
38.14,38.5,121.75,381447
38.14,38.5,121.79,381648
38.14,38.5,121.82,381849
38.11,38.5,121.85,382050
38.11,38.5,130.83,382251
38.14,38.5,126.92,382452
38.14,38.5,118.02,382653
38.14,38.5,121.99,382854
38.11,38.5,122.03,383055
38.14,38.5,131.01,383256
38.14,38.5,118.15,383457
38.14,38.5,122.13,383658
38.11,38.5,122.16,383859
38.11,38.5,131.14,384060
38.11,38.5,127.23,384261
38.14,38.5,127.27,384462
38.14,38.5,118.36,384663
38.14,38.5,122.34,384864
38.14,38.5,122.37,385065
38.14,38.5,122.41,385266
38.14,38.5,122.44,385467
38.14,38.5,122.47,385668
38.14,38.5,122.51,385869
38.14,38.5,122.54,386070
38.14,38.5,122.57,386271
38.14,38.5,122.61,386472
38.14,38.5,122.64,386673
38.14,38.5,122.67,386874
38.14,38.5,122.71,387075
38.14,38.5,122.74,387276
38.14,38.5,122.77,387477
38.14,38.5,122.81,387678
38.14,38.5,122.84,387879
38.14,38.5,122.87,388080
38.17,38.5,122.91,388281
38.14,38.5,114.02,388482
38.14,38.5,126.9,388683
38.17,38.5,123,388884
38.14,38.5,114.12,389085
38.17,38.5,127,389286
38.14,38.5,114.18,389487
38.17,38.5,127.06,389688
38.14,38.5,114.25,389889
38.14,38.5,127.13,390090
38.14,38.5,123.23,390291
38.14,38.5,123.26,390492
38.14,38.5,123.3,390693
38.17,38.5,123.33,390894
