Temp,Setpoint,Output,TempPWM,SetpointPWM,Status,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
38,37,0,68,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
38,37,0,68,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.73,37,0,67.79,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.73,37,0,67.79,67.23,hello,,
37.73,37,0,67.79,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.73,37,0,67.79,67.23,hello,,
37.73,37,0,67.79,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.73,37,0,67.79,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.66,37,0,67.74,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.66,37,0,67.74,67.23,hello,,
37.66,37,0,67.74,67.23,hello,,
37.66,37,0,67.74,67.23,hello,,
37.66,37,0,67.74,67.23,hello,,
37.66,37,0,67.74,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.66,37,0,67.74,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.56,37,0,67.66,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.56,37,0,67.66,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.56,37,0,67.66,67.23,hello,,
37.56,37,0,67.66,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.56,37,0,67.66,67.23,hello,,
37.56,37,0,67.66,67.23,hello,,
37.56,37,0,67.66,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.5,37,0,67.61,67.23,hello,,
37.5,37,0,67.61,67.23,hello,,
37.5,37,0,67.61,67.23,hello,,
37.5,37,0,67.61,67.23,hello,,
37.46,37,0,67.58,67.23,hello,,
37.5,37,1.3,67.61,67.23,hello,,
37.5,37,0,67.61,67.23,hello,,
37.5,37,0,67.61,67.23,hello,,
37.5,37,0,67.61,67.23,hello,,
37.46,37,0,67.58,67.23,hello,,
37.46,37,1.11,67.58,67.23,hello,,
37.46,37,0,67.58,67.23,hello,,
37.46,37,0,67.58,67.23,hello,,
37.46,37,0,67.58,67.23,hello,,
37.46,37,0,67.58,67.23,hello,,
37.46,37,0,67.58,67.23,hello,,
37.46,37,0,67.58,67.23,hello,,
37.43,37,0,67.56,67.23,hello,,
37.46,37,5.58,67.58,67.23,hello,,
37.43,37,0,67.56,67.23,hello,,
37.43,37,5.51,67.56,67.23,hello,,
