Temp,Setpoint,,,
29.66,30,83.52,61.56,61.82
29.7,30,96.37,61.58,61.82
29.66,30,83.58,61.56,61.82
29.7,30,96.43,61.58,61.82
29.66,30,83.64,61.56,61.82
29.66,30,96.49,61.56,61.82
29.7,30,92.6,61.58,61.82
29.7,30,83.73,61.58,61.82
29.66,30,87.68,61.56,61.82
29.66,30,96.61,61.56,61.82
29.66,30,92.72,61.56,61.82
29.66,30,92.75,61.56,61.82
29.66,30,92.78,61.56,61.82
29.66,30,92.81,61.56,61.82
29.66,30,92.84,61.56,61.82
29.66,30,92.87,61.56,61.82
29.7,30,92.9,61.58,61.82
29.66,30,84.04,61.56,61.82
29.63,30,96.89,61.53,61.82
29.66,30,101.92,61.56,61.82
29.59,30,89.1,61.5,61.82
29.63,30,110.88,61.53,61.82
29.63,30,94.16,61.53,61.82
29.66,30,98.12,61.56,61.82
29.63,30,89.23,61.53,61.82
29.63,30,102.12,61.53,61.82
29.59,30,98.22,61.5,61.82
29.63,30,107.15,61.53,61.82
29.63,30,94.37,61.53,61.82
29.59,30,98.33,61.5,61.82
29.63,30,107.26,61.53,61.82
29.63,30,94.48,61.53,61.82
29.63,30,98.43,61.53,61.82
29.63,30,98.47,61.53,61.82
29.63,30,98.5,61.53,61.82
29.63,30,98.54,61.53,61.82
29.63,30,98.57,61.53,61.82
29.63,30,98.61,61.53,61.82
29.59,30,98.64,61.5,61.82
29.59,30,107.57,61.5,61.82
29.59,30,103.69,61.5,61.82
29.59,30,103.72,61.5,61.82
29.59,30,103.76,61.5,61.82
29.63,30,103.8,61.53,61.82
29.59,30,94.94,61.5,61.82
29.59,30,107.79,61.5,61.82
29.59,30,103.91,61.5,61.82
29.59,30,103.95,61.5,61.82
29.59,30,103.98,61.5,61.82
29.56,30,104.02,61.48,61.82
29.59,30,112.95,61.5,61.82
29.59,30,100.18,61.5,61.82
29.56,30,104.14,61.48,61.82
29.59,30,113.07,61.5,61.82
29.56,30,100.29,61.48,61.82
29.56,30,113.15,61.48,61.82
29.56,30,109.27,61.48,61.82
29.56,30,109.31,61.48,61.82
29.56,30,109.35,61.48,61.82
29.56,30,109.39,61.48,61.82
29.56,30,109.43,61.48,61.82
29.59,30,109.47,61.5,61.82
