temp,Setpoint,,,
36.58,37,92.68,66.9,67.23
36.61,37,92.71,66.93,67.23
36.58,37,82.79,66.9,67.23
36.61,37,98.02,66.93,67.23
36.58,37,82.85,66.9,67.23
36.61,37,98.08,66.93,67.23
36.58,37,82.91,66.9,67.23
36.61,37,98.14,66.93,67.23
36.58,37,82.97,66.9,67.23
36.58,37,98.21,66.9,67.23
36.61,37,93,66.93,67.23
36.61,37,83.07,66.93,67.23
36.58,37,88.34,66.9,67.23
36.58,37,98.33,66.9,67.23
36.61,37,93.12,66.93,67.23
36.61,37,83.19,66.93,67.23
36.61,37,88.46,66.93,67.23
36.61,37,88.49,66.93,67.23
36.58,37,88.52,66.9,67.23
36.58,37,98.52,66.9,67.23
36.58,37,93.31,66.9,67.23
36.61,37,93.34,66.93,67.23
36.58,37,83.41,66.9,67.23
36.58,37,98.64,66.9,67.23
36.58,37,93.43,66.9,67.23
36.58,37,93.47,66.9,67.23
36.58,37,93.5,66.9,67.23
36.58,37,93.53,66.9,67.23
36.54,37,93.56,66.88,67.23
36.58,37,103.59,66.9,67.23
36.58,37,88.38,66.9,67.23
36.58,37,93.66,66.9,67.23
36.54,37,93.7,66.88,67.23
36.58,37,103.72,66.9,67.23
36.58,37,88.51,66.9,67.23
36.58,37,93.8,66.9,67.23
36.54,37,93.83,66.88,67.23
36.54,37,103.85,66.88,67.23
36.54,37,98.63,66.88,67.23
36.54,37,98.67,66.88,67.23
36.54,37,98.7,66.88,67.23
36.5,7,98.74,66.88,67.23
36.51,37,98.77,66.85,67.23
36.54,37,108.77,66.88,67.23
36.51,37,93.6,66.85,67.23
36.54,37,108.84,66.88,67.23
36.51,37,93.68,66.85,67.23
36.51,37,108.91,66.85,67.23
36.51,37,103.71,66.85,67.23
36.51,37,103.75,66.85,67.23
36.51,37,103.79,66.85,67.23
36.51,37,103.82,66.85,67.23
36.48,37,103.86,66.82,67.23
36.48,37,113.86,66.82,67.23
36.51,37,108.66,66.85,67.23
36.51,37,98.74,66.85,67.23
36.48,37,104.02,66.82,67.23
36.48,37,114.02,66.82,67.23
36.48,37,108.82,66.82,67.23
36.48,37,108.86,66.82,67.23
36.48,37,108.9,66.82,67.23
36.48,37,108.94,66.82,67.23
36.48,37,108.98,66.82,67.23
36.48,37,109.02,66.82,67.23
36.44,37,109.06,66.8,67.23
36.44,37,119.06,66.8,67.23
36.44,37,113.86,66.8,67.23
36.44,37,113.91,66.8,67.23
36.44,37,113.95,66.8,67.23
36.44,37,113.99,66.8,67.23
36.44,37,114.03,66.8,67.23
36.44,37,114.08,66.8,67.23
36.41,37,114.12,66.77,67.23
36.41,37,124.12,66.77,67.23
36.41,37,118.93,66.77,67.23
36.41,37,118.97,66.77,67.23
36.41,37,119.02,66.77,67.23
36.41,37,119.07,66.77,67.23
36.41,37,119.11,66.77,67.23
36.41,37,119.16,66.77,67.23
36.37,37,119.2,66.74,67.23
36.41,37,129.24,66.77,67.23
36.41,37,114.04,66.77,67.23
36.41,37,119.34,66.77,67.23
36.37,37,119.39,66.74,67.23
36.37,37,129.42,66.74,67.23
36.34,37,124.22,66.72,67.23
36.41,37,134.22,66.77,67.23
36.37,37,109.08,66.74,67.23
36.37,37,129.62,66.74,67.23
36.37,37,124.41,66.74,67.23
36.37,37,124.46,66.74,67.23
36.37,37,124.51,66.74,67.23
36.37,37,124.55,66.74,67.23
36.37,37,124.6,66.74,67.23
36.37,37,124.65,66.74,67.23
36.34,37,124.7,66.72,67.23
36.37,37,134.71,66.74,67.23
36.37,37,119.56,66.74,67.23
36.37,37,124.85,66.74,67.23
36.34,37,124.89,66.72,67.23
36.37,37,134.9,66.74,67.23
36.34,37,119.75,66.72,67.23
36.34,37,135,66.72,67.23
36.37,37,129.81,66.74,67.23
36.34,37,119.9,66.72,67.23
36.34,37,135.15,66.72,67.23
36.34,37,129.96,66.72,67.23
36.34,37,130.01,66.72,67.23
36.34,37,130.06,66.72,67.23
36.37,37,130.12,66.74,67.23
36.34,37,120.21,66.72,67.23
36.34,37,135.46,66.72,67.23
36.34,37,130.27,66.72,67.23
36.37,37,130.32,66.74,67.23
36.34,37,120.41,66.72,67.23
36.37,37,135.66,66.74,67.23
36.37,37,120.51,66.74,67.23
36.37,37,125.8,66.74,67.23
36.37,37,125.84,66.74,67.23
36.37,37,125.89,66.74,67.23
36.41,37,125.94,66.77,67.23
36.37,37,116,66.74,67.23
36.41,37,131.29,66.77,67.23
36.41,37,116.09,66.77,67.23
36.41,37,121.4,66.77,67.23
36.41,37,121.44,66.77,67.23
36.41,37,121.49,66.77,67.23
36.44,37,121.53,66.8,67.23
36.44,37,111.62,66.8,67.23
36.48,37,116.9,66.82,67.23
36.44,37,106.98,66.8,67.23
36.48,37,122.23,66.82,67.23
36.48,37,107.07,66.82,67.23
36.48,37,112.35,66.82,67.23
36.48,37,112.39,66.82,67.23
36.48,37,112.43,66.82,67.23
36.48,37,112.47,66.82,67.23
36.48,37,112.51,66.82,67.23
36.48,37,112.55,66.82,67.23
36.51,37,112.59,66.85,67.23
36.51,37,102.67,66.85,67.23
36.48,37,107.95,66.82,67.23
36.51,37,117.95,66.85,67.23
36.51,37,102.79,66.85,67.23
36.51,37,108.07,66.85,67.23
36.51,37,108.1,66.85,67.23
36.51,37,108.14,66.85,67.23
36.54,37,108.18,66.88,67.23
36.51,37,98.26,66.85,67.23
36.54,37,113.49,66.88,67.23
36.54,37,98.33,66.88,67.23
